componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C31,C31_4250111_Frame,Machine Frame Subassembly,2,C08,Machine Structure,1101,4250111,#2899800,#2899359,SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111,13,2050,"{""min"":[-0.8350000033378602,-0.8029999976158142,-0.6143999993741512],""max"":[1.5510000007450582,0.8530076322555542,0.5921763611793518]}","[0.357999998703599,0.025003817319870003,-0.011111819097399722]","[-0.2184837836966078,0.29393143652647374,0.930520900830872]"
C32,C32_4015660_Primary_Frame,Primary Machine Frame,3,C31,Machine Structure,1102,4015660,#2867662,#2867218,SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660,4,398,"{""min"":[0.78449999666214,-0.6889923603249,-0.27490000037252904],""max"":[1.6150000033378602,0.7760076432513787,0.4910999966621399]}","[1.19975,0.04350764146323938,0.10809999814480542]","[0.8736643641378601,0.12671252871222993,0.46973877198176983]"
C33,C33_Chuck_Wash_Ext,Chuck-Flushing Extension,2,C09,Fluid Delivery,1952,048__29_WASHING_CHUCK_EXT,#3288527,#3288086,SA0138_ASM > 4246339_ASM_1 > 4065686 > 048__29_WASHING_CHUCK_EXT,4,2594,"{""min"":[-0.02299999403953551,0.1540000002235174,-0.010899999940395354],""max"":[0.33970170602947475,0.24600000005215406,0.011099999940395356]}","[0.15835085599496962,0.20000000013783573,0.00010000000000000113]","[-0.5506495912005619,0.5493137149568932,0.6285216545759671]"
C34,C34_4253368_Arm_Assembly,Handling Arm Assembly,2,C11,Mechanical Handling,1963,4253368_DT,#3300610,#3300166,SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT,0,0,"{""min"":[-0.08700000140070915,-0.3395312137891704,0.044850525903701505],""max"":[0.09300000140070916,0.30819249310897245,0.30225645784416877]}","[0.0030000000000000027,-0.01566936034009897,0.17355349187393515]","[-0.6597231941001823,0.08209913089291297,0.7470107361162097]"
C35,C35_4253368_Actuator,Handling Arm Actuator,3,C34,Actuation,1964,4253368_ACTUATOR_DT,#3294994,#3294119,SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_ACTUATOR_DT,0,152,"{""min"":[-0.02000000035762787,-0.3395312137891704,0.07226631114069984],""max"":[0.09300000140070916,-0.2085257878752999,0.20327173705457036]}","[0.03650000052154065,-0.2740285008322352,0.13776902409763508]","[-0.6236722862806008,0.26995753509941783,0.7335910363196753]"
C36,C36_Turret_Slide_Carriage,Turret Slide Carriage,2,C03,Linear Motion,92,4040068,#344355,#343521,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4040068,0,172719,"{""min"":[0.7005000114440918,-0.35199999809265137,-0.8121121525764465],""max"":[1.2454999685287476,0.4366384446620941,-0.14990663528442383]}","[0.9729999899864197,0.042319223284721375,-0.4810093939304352]","[0.9354000631852082,0.19002152145885182,-0.2981921246035378]"
C37,C37_SME20_Encoder_Module,SME20 External Encoder Module,2,C03,Feedback and Sensing,871,AG_2322227_SME20,#2308562,#2308121,SA0138_ASM > 4246339_ASM_1 > 4218037 > AG_2322227_SME20,25,58027,"{""min"":[0.9909999999038877,0.31756312288247845,-0.35489542602592156],""max"":[1.034892483850196,0.4203616385666419,-0.2380739663628764]}","[1.0129462418770419,0.36896238072456017,-0.296484696194399]","[0.8009820661605243,0.5985117631852129,0.014539567330063133]"
C38,C38_VDI30_Turret_Head,VDI30 12-Station Turret Head,3,C22,Tooling,100,4015515_1_1,#1132414,#1131485,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4015515 > 4015515_1_1,0,386001,"{""min"":[0.5279999992251396,0.10681757640889425,-0.4751757587696882],""max"":[0.989999989271164,0.45961940966787784,-0.10681757640889425]}","[0.7589999942481518,0.28321849303838603,-0.2909966675892912]","[0.6855040913113722,0.5378466496799276,-0.49071898498371463]"
C39,C39_Main_Housing_Frame,Main Housing Frame,3,C31,Machine Structure,1103,4015838,#2791680,#2791166,SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4015838,467,171540,"{""min"":[-0.8199999928474426,-0.800000011920929,-0.831399993801117],""max"":[1.595,0.7680000066757202,0.49423588643074035]}","[0.3875000035762787,-0.01600000262260437,-0.1685820536851883]","[-0.26067426778463415,0.3421101552385878,0.9027788033608091]"
C40,C40_Complete_Access_Door,Complete Access Door,3,C31,Access Guard,1817,4016022,#2852041,#2851600,SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4016022,23,9298,"{""min"":[-0.07250000548362734,-0.27005247735977167,-0.2450174308664],""max"":[0.8085,0.7637835968136788,0.48204952211532137]}","[0.36799999725818633,0.24686555972695357,0.11851604562446069]","[-0.11161982145765852,0.5916070972590999,0.7984623083968476]"
C41,C41_Front_Center_Cover,Front Center Cover Assembly,3,C31,Machine Protection,1867,4061088,#2866879,#2866438,SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4061088,12,6016,"{""min"":[-0.10650000037252903,-0.6888995922470799,0.3979282201900023],""max"":[0.7785000143051147,-0.17871335413898937,0.4910938375632475]}","[0.33600000696629284,-0.4338064731930346,0.44451102887662486]","[-0.1088390711399288,-0.43453592742886277,0.8940540164704455]"
C42,C42_Machine_Cabin_Body,Machine Cabin Body,2,C09,Access Guard,1937,4061866,#3261140,#3260306,SA0138_ASM > 4246339_ASM_1 > 4065686 > 4061866,0,196528,"{""min"":[-0.8199999928474426,-0.800000011920929,-0.8313999772071838],""max"":[1.6150000095367432,0.7760076522827148,0.49423590302467346]}","[0.39750000834465027,-0.011996179819107056,-0.1685820370912552]","[-0.1966092447882725,0.37028092370239135,0.907874904601889]"
C43,C43_Handling_Arm,Handling Arm,3,C34,Mechanical Handling,1965,4253368_ARM_DT,#3297980,#3297108,SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_ARM_DT,1,2098,"{""min"":[-0.058999997437000275,-0.29286367274888486,0.044850525903701505],""max"":[0.0925000003874302,0.2760191311932367,0.30225645784416877]}","[0.01675000147521496,-0.008422270777824092,0.17355349187393515]","[-0.6467392636034566,0.6020388776547092,0.46827077071489004]"
C44,C44_Arm_Stowage_Garage,Arm Stowage Garage,3,C34,Mechanical Handling,1968,4253368_GARAGE_DT,#3299828,#3298956,SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_GARAGE_DT,0,752,"{""min"":[-0.08700000140070915,0.1809132674377721,0.08022126179684588],""max"":[-0.016999999240040788,0.30819249310897245,0.20750048746804625]}","[-0.05200000032037497,0.2445528802733723,0.14386087463244607]","[-0.6578398808853003,0.7411776578868685,0.1337997405309514]"
C45,C45_Left_Z_Sliding_Guard,Left Z-Axis Sliding Guard,2,C06,Machine Protection,993,4012235,#2495063,#2494622,SA0138_ASM > 4246339_ASM_1 > 4247587 > 4012235,21,12444,"{""min"":[-0.06299999999999994,-0.23965440886467118,-0.5855000019073486],""max"":[0.9370000000000009,0.718999981880188,-0.2315777689218521]}","[0.4370000000000005,0.23967278650775842,-0.4085388854146004]","[0.029269489566234052,0.9494678540871445,-0.3124965456380038]"
C46,C46_Right_Z_Sliding_Guard,Right Z-Axis Sliding Guard,2,C06,Machine Protection,1025,4014481,#2500836,#2500395,SA0138_ASM > 4246339_ASM_1 > 4247587 > 4014481,11,6032,"{""min"":[0.9369999852180482,-0.24729758501052856,-0.6104999780654907],""max"":[1.3440000001043082,0.718999981880188,-0.2029794305562973]}","[1.1404999926611783,0.2358511984348297,-0.406739704310894]","[0.9122137858843264,0.3893827196146012,-0.12746413812567517]"
